|CONSTRAINT_SCHEMA|CONSTRAINT_NAME|TABLE_SCHEMA|TABLE_NAME|CONSTRAINT_TYPE
54|Production|CK_Product_ListPrice|Production|Product|CHECK
55|Production|CK_Product_Weight|Production|Product|CHECK
56|Production|CK_Product_DaysToManufacture|Production|Product|CHECK
57|Production|CK_Product_ProductLine|Production|Product|CHECK
58|Production|CK_Product_Class|Production|Product|CHECK
59|Production|CK_Product_Style|Production|Product|CHECK
60|Production|CK_Product_SellEndDate|Production|Product|CHECK
61|Production|FK_Product_ProductSubcategory_ProductSubcategoryID|Production|Product|FOREIGN KEY
62|Sales|CK_SalesTerritoryHistory_EndDate|Sales|SalesTerritoryHistory|CHECK
63|Sales|PK_SalesTerritoryHistory_BusinessEntityID_StartDate_TerritoryID|Sales|SalesTerritoryHistory|PRIMARY KEY
64|Sales|FK_SalesTerritoryHistory_SalesPerson_BusinessEntityID|Sales|SalesTerritoryHistory|FOREIGN KEY
65|Sales|FK_SalesTerritoryHistory_SalesTerritory_TerritoryID|Sales|SalesTerritoryHistory|FOREIGN KEY
66|Production|PK_ScrapReason_ScrapReasonID|Production|ScrapReason|PRIMARY KEY
67|HumanResources|PK_Shift_ShiftID|HumanResources|Shift|PRIMARY KEY
68|Production|PK_ProductCategory_ProductCategoryID|Production|ProductCategory|PRIMARY KEY
69|Purchasing|PK_ShipMethod_ShipMethodID|Purchasing|ShipMethod|PRIMARY KEY
70|Purchasing|CK_ShipMethod_ShipBase|Purchasing|ShipMethod|CHECK
71|Purchasing|CK_ShipMethod_ShipRate|Purchasing|ShipMethod|CHECK
72|Production|CK_ProductCostHistory_StandardCost|Production|ProductCostHistory|CHECK
73|Production|CK_ProductCostHistory_EndDate|Production|ProductCostHistory|CHECK
74|Production|PK_ProductCostHistory_ProductID_StartDate|Production|ProductCostHistory|PRIMARY KEY
75|Production|FK_ProductCostHistory_Product_ProductID|Production|ProductCostHistory|FOREIGN KEY
76|Production|PK_ProductDescription_ProductDescriptionID|Production|ProductDescription|PRIMARY KEY
77|Sales|FK_ShoppingCartItem_Product_ProductID|Sales|ShoppingCartItem|FOREIGN KEY
78|Sales|PK_ShoppingCartItem_ShoppingCartItemID|Sales|ShoppingCartItem|PRIMARY KEY
79|Sales|CK_ShoppingCartItem_Quantity|Sales|ShoppingCartItem|CHECK
80|Production|PK_ProductDocument_ProductID_DocumentNode|Production|ProductDocument|PRIMARY KEY
81|Production|FK_ProductDocument_Product_ProductID|Production|ProductDocument|FOREIGN KEY
82|Production|FK_ProductDocument_Document_DocumentNode|Production|ProductDocument|FOREIGN KEY
83|dbo|PK_DatabaseLog_DatabaseLogID|dbo|DatabaseLog|PRIMARY KEY
84|Production|FK_ProductInventory_Location_LocationID|Production|ProductInventory|FOREIGN KEY
85|Production|FK_ProductInventory_Product_ProductID|Production|ProductInventory|FOREIGN KEY
86|Production|PK_ProductInventory_ProductID_LocationID|Production|ProductInventory|PRIMARY KEY
87|Production|CK_ProductInventory_Shelf|Production|ProductInventory|CHECK
88|Production|CK_ProductInventory_Bin|Production|ProductInventory|CHECK
89|Sales|CK_SpecialOffer_EndDate|Sales|SpecialOffer|CHECK
90|Sales|CK_SpecialOffer_MaxQty|Sales|SpecialOffer|CHECK
91|Sales|CK_SpecialOffer_DiscountPct|Sales|SpecialOffer|CHECK
92|Sales|CK_SpecialOffer_MinQty|Sales|SpecialOffer|CHECK
93|Sales|PK_SpecialOffer_SpecialOfferID|Sales|SpecialOffer|PRIMARY KEY
94|dbo|PK_ErrorLog_ErrorLogID|dbo|ErrorLog|PRIMARY KEY
95|Production|CK_ProductListPriceHistory_ListPrice|Production|ProductListPriceHistory|CHECK
96|Production|CK_ProductListPriceHistory_EndDate|Production|ProductListPriceHistory|CHECK
97|Production|PK_ProductListPriceHistory_ProductID_StartDate|Production|ProductListPriceHistory|PRIMARY KEY
98|Production|FK_ProductListPriceHistory_Product_ProductID|Production|ProductListPriceHistory|FOREIGN KEY
99|Person|PK_Address_AddressID|Person|Address|PRIMARY KEY
100|Person|FK_Address_StateProvince_StateProvinceID|Person|Address|FOREIGN KEY
101|Sales|FK_SpecialOfferProduct_SpecialOffer_SpecialOfferID|Sales|SpecialOfferProduct|FOREIGN KEY
102|Sales|FK_SpecialOfferProduct_Product_ProductID|Sales|SpecialOfferProduct|FOREIGN KEY
103|Sales|PK_SpecialOfferProduct_SpecialOfferID_ProductID|Sales|SpecialOfferProduct|PRIMARY KEY
104|Production|PK_ProductModel_ProductModelID|Production|ProductModel|PRIMARY KEY
105|Person|PK_AddressType_AddressTypeID|Person|AddressType|PRIMARY KEY
106|Person|FK_StateProvince_SalesTerritory_TerritoryID|Person|StateProvince|FOREIGN KEY
107|Person|FK_StateProvince_CountryRegion_CountryRegionCode|Person|StateProvince|FOREIGN KEY
108|Person|PK_StateProvince_StateProvinceID|Person|StateProvince|PRIMARY KEY
109|Production|PK_ProductModelIllustration_ProductModelID_IllustrationID|Production|ProductModelIllustration|PRIMARY KEY
110|Production|FK_ProductModelIllustration_ProductModel_ProductModelID|Production|ProductModelIllustration|FOREIGN KEY
111|Production|FK_ProductModelIllustration_Illustration_IllustrationID|Production|ProductModelIllustration|FOREIGN KEY
112|dbo|PK_AWBuildVersion_SystemInformationID|dbo|AWBuildVersion|PRIMARY KEY
113|Production|FK_ProductModelProductDescriptionCulture_Culture_CultureID|Production|ProductModelProductDescriptionCulture|FOREIGN KEY
114|Production|FK_ProductModelProductDescriptionCulture_ProductModel_ProductModelID|Production|ProductModelProductDescriptionCulture|FOREIGN KEY
115|Production|FK_ProductModelProductDescriptionCulture_ProductDescription_ProductDescriptionID|Production|ProductModelProductDescriptionCulture|FOREIGN KEY
116|Production|PK_ProductModelProductDescriptionCulture_ProductModelID_ProductDescriptionID_CultureID|Production|ProductModelProductDescriptionCulture|PRIMARY KEY
117|Production|FK_BillOfMaterials_Product_ProductAssemblyID|Production|BillOfMaterials|FOREIGN KEY
118|Production|FK_BillOfMaterials_Product_ComponentID|Production|BillOfMaterials|FOREIGN KEY
119|Production|FK_BillOfMaterials_UnitMeasure_UnitMeasureCode|Production|BillOfMaterials|FOREIGN KEY
120|Production|CK_BillOfMaterials_EndDate|Production|BillOfMaterials|CHECK
121|Production|CK_BillOfMaterials_ProductAssemblyID|Production|BillOfMaterials|CHECK
122|Production|CK_BillOfMaterials_BOMLevel|Production|BillOfMaterials|CHECK
123|Production|CK_BillOfMaterials_PerAssemblyQty|Production|BillOfMaterials|CHECK
124|Production|PK_BillOfMaterials_BillOfMaterialsID|Production|BillOfMaterials|PRIMARY KEY
125|Sales|FK_Store_SalesPerson_SalesPersonID|Sales|Store|FOREIGN KEY
126|Sales|FK_Store_BusinessEntity_BusinessEntityID|Sales|Store|FOREIGN KEY
127|Sales|PK_Store_BusinessEntityID|Sales|Store|PRIMARY KEY
128|Production|PK_ProductPhoto_ProductPhotoID|Production|ProductPhoto|PRIMARY KEY
129|Production|PK_ProductProductPhoto_ProductID_ProductPhotoID|Production|ProductProductPhoto|PRIMARY KEY
130|Production|FK_ProductProductPhoto_Product_ProductID|Production|ProductProductPhoto|FOREIGN KEY
131|Production|FK_ProductProductPhoto_ProductPhoto_ProductPhotoID|Production|ProductProductPhoto|FOREIGN KEY
132|Production|PK_TransactionHistory_TransactionID|Production|TransactionHistory|PRIMARY KEY
133|Production|FK_TransactionHistory_Product_ProductID|Production|TransactionHistory|FOREIGN KEY
134|Production|CK_TransactionHistory_TransactionType|Production|TransactionHistory|CHECK
135|Production|CK_ProductReview_Rating|Production|ProductReview|CHECK
136|Production|PK_ProductReview_ProductReviewID|Production|ProductReview|PRIMARY KEY
137|Production|FK_ProductReview_Product_ProductID|Production|ProductReview|FOREIGN KEY
138|Person|PK_BusinessEntity_BusinessEntityID|Person|BusinessEntity|PRIMARY KEY
139|Production|PK_TransactionHistoryArchive_TransactionID|Production|TransactionHistoryArchive|PRIMARY KEY
140|Production|CK_TransactionHistoryArchive_TransactionType|Production|TransactionHistoryArchive|CHECK
141|Production|PK_ProductSubcategory_ProductSubcategoryID|Production|ProductSubcategory|PRIMARY KEY
142|Production|FK_ProductSubcategory_ProductCategory_ProductCategoryID|Production|ProductSubcategory|FOREIGN KEY
143|Person|PK_BusinessEntityAddress_BusinessEntityID_AddressID_AddressTypeID|Person|BusinessEntityAddress|PRIMARY KEY
144|Person|FK_BusinessEntityAddress_Address_AddressID|Person|BusinessEntityAddress|FOREIGN KEY
145|Person|FK_BusinessEntityAddress_BusinessEntity_BusinessEntityID|Person|BusinessEntityAddress|FOREIGN KEY
146|Person|FK_BusinessEntityAddress_AddressType_AddressTypeID|Person|BusinessEntityAddress|FOREIGN KEY
147|Purchasing|CK_ProductVendor_OnOrderQty|Purchasing|ProductVendor|CHECK
148|Purchasing|CK_ProductVendor_MaxOrderQty|Purchasing|ProductVendor|CHECK
149|Purchasing|CK_ProductVendor_MinOrderQty|Purchasing|ProductVendor|CHECK
150|Purchasing|CK_ProductVendor_AverageLeadTime|Purchasing|ProductVendor|CHECK
151|Purchasing|CK_ProductVendor_LastReceiptCost|Purchasing|ProductVendor|CHECK
152|Purchasing|CK_ProductVendor_StandardPrice|Purchasing|ProductVendor|CHECK
153|Purchasing|PK_ProductVendor_ProductID_BusinessEntityID|Purchasing|ProductVendor|PRIMARY KEY
154|Purchasing|FK_ProductVendor_Product_ProductID|Purchasing|ProductVendor|FOREIGN KEY
155|Purchasing|FK_ProductVendor_UnitMeasure_UnitMeasureCode|Purchasing|ProductVendor|FOREIGN KEY
156|Purchasing|FK_ProductVendor_Vendor_BusinessEntityID|Purchasing|ProductVendor|FOREIGN KEY
157|Person|PK_BusinessEntityContact_BusinessEntityID_PersonID_ContactTypeID|Person|BusinessEntityContact|PRIMARY KEY
158|Person|FK_BusinessEntityContact_Person_PersonID|Person|BusinessEntityContact|FOREIGN KEY
159|Person|FK_BusinessEntityContact_ContactType_ContactTypeID|Person|BusinessEntityContact|FOREIGN KEY
160|Person|FK_BusinessEntityContact_BusinessEntity_BusinessEntityID|Person|BusinessEntityContact|FOREIGN KEY
161|Production|PK_UnitMeasure_UnitMeasureCode|Production|UnitMeasure|PRIMARY KEY
162|Purchasing|FK_Vendor_BusinessEntity_BusinessEntityID|Purchasing|Vendor|FOREIGN KEY
163|Purchasing|PK_Vendor_BusinessEntityID|Purchasing|Vendor|PRIMARY KEY
164|Purchasing|CK_Vendor_CreditRating|Purchasing|Vendor|CHECK
165|Person|PK_ContactType_ContactTypeID|Person|ContactType|PRIMARY KEY
166|Sales|PK_CountryRegionCurrency_CountryRegionCode_CurrencyCode|Sales|CountryRegionCurrency|PRIMARY KEY
167|Sales|FK_CountryRegionCurrency_CountryRegion_CountryRegionCode|Sales|CountryRegionCurrency|FOREIGN KEY
168|Sales|FK_CountryRegionCurrency_Currency_CurrencyCode|Sales|CountryRegionCurrency|FOREIGN KEY
169|Person|PK_CountryRegion_CountryRegionCode|Person|CountryRegion|PRIMARY KEY
170|Production|CK_WorkOrder_EndDate|Production|WorkOrder|CHECK
171|Production|CK_WorkOrder_ScrappedQty|Production|WorkOrder|CHECK
172|Production|CK_WorkOrder_OrderQty|Production|WorkOrder|CHECK
173|Production|PK_WorkOrder_WorkOrderID|Production|WorkOrder|PRIMARY KEY
174|Production|FK_WorkOrder_Product_ProductID|Production|WorkOrder|FOREIGN KEY
175|Production|FK_WorkOrder_ScrapReason_ScrapReasonID|Production|WorkOrder|FOREIGN KEY
176|Purchasing|PK_PurchaseOrderDetail_PurchaseOrderID_PurchaseOrderDetailID|Purchasing|PurchaseOrderDetail|PRIMARY KEY
177|Purchasing|CK_PurchaseOrderDetail_OrderQty|Purchasing|PurchaseOrderDetail|CHECK
178|Purchasing|CK_PurchaseOrderDetail_UnitPrice|Purchasing|PurchaseOrderDetail|CHECK
179|Purchasing|CK_PurchaseOrderDetail_ReceivedQty|Purchasing|PurchaseOrderDetail|CHECK
180|Purchasing|CK_PurchaseOrderDetail_RejectedQty|Purchasing|PurchaseOrderDetail|CHECK
181|Purchasing|FK_PurchaseOrderDetail_Product_ProductID|Purchasing|PurchaseOrderDetail|FOREIGN KEY
182|Purchasing|FK_PurchaseOrderDetail_PurchaseOrderHeader_PurchaseOrderID|Purchasing|PurchaseOrderDetail|FOREIGN KEY
183|Sales|PK_CreditCard_CreditCardID|Sales|CreditCard|PRIMARY KEY
184|Production|PK_Culture_CultureID|Production|Culture|PRIMARY KEY
185|Production|CK_WorkOrderRouting_ScheduledEndDate|Production|WorkOrderRouting|CHECK
186|Production|CK_WorkOrderRouting_ActualResourceHrs|Production|WorkOrderRouting|CHECK
187|Production|CK_WorkOrderRouting_ActualEndDate|Production|WorkOrderRouting|CHECK
188|Production|CK_WorkOrderRouting_ActualCost|Production|WorkOrderRouting|CHECK
189|Production|CK_WorkOrderRouting_PlannedCost|Production|WorkOrderRouting|CHECK
190|Production|FK_WorkOrderRouting_WorkOrder_WorkOrderID|Production|WorkOrderRouting|FOREIGN KEY
191|Production|FK_WorkOrderRouting_Location_LocationID|Production|WorkOrderRouting|FOREIGN KEY
192|Production|PK_WorkOrderRouting_WorkOrderID_ProductID_OperationSequence|Production|WorkOrderRouting|PRIMARY KEY
193|Sales|PK_Currency_CurrencyCode|Sales|Currency|PRIMARY KEY
194|Purchasing|FK_PurchaseOrderHeader_ShipMethod_ShipMethodID|Purchasing|PurchaseOrderHeader|FOREIGN KEY
195|Purchasing|FK_PurchaseOrderHeader_Vendor_VendorID|Purchasing|PurchaseOrderHeader|FOREIGN KEY
196|Purchasing|FK_PurchaseOrderHeader_Employee_EmployeeID|Purchasing|PurchaseOrderHeader|FOREIGN KEY
197|Purchasing|CK_PurchaseOrderHeader_Freight|Purchasing|PurchaseOrderHeader|CHECK
198|Purchasing|CK_PurchaseOrderHeader_TaxAmt|Purchasing|PurchaseOrderHeader|CHECK
199|Purchasing|CK_PurchaseOrderHeader_Status|Purchasing|PurchaseOrderHeader|CHECK
200|Purchasing|CK_PurchaseOrderHeader_SubTotal|Purchasing|PurchaseOrderHeader|CHECK
201|Purchasing|CK_PurchaseOrderHeader_ShipDate|Purchasing|PurchaseOrderHeader|CHECK
202|Purchasing|PK_PurchaseOrderHeader_PurchaseOrderID|Purchasing|PurchaseOrderHeader|PRIMARY KEY
203|Sales|FK_CurrencyRate_Currency_FromCurrencyCode|Sales|CurrencyRate|FOREIGN KEY
204|Sales|FK_CurrencyRate_Currency_ToCurrencyCode|Sales|CurrencyRate|FOREIGN KEY
205|Sales|PK_CurrencyRate_CurrencyRateID|Sales|CurrencyRate|PRIMARY KEY
206|Sales|PK_Customer_CustomerID|Sales|Customer|PRIMARY KEY
207|Sales|FK_Customer_Person_PersonID|Sales|Customer|FOREIGN KEY
208|Sales|FK_Customer_Store_StoreID|Sales|Customer|FOREIGN KEY
209|Sales|FK_Customer_SalesTerritory_TerritoryID|Sales|Customer|FOREIGN KEY
210|HumanResources|PK_Department_DepartmentID|HumanResources|Department|PRIMARY KEY
211|Production|PK_Document_DocumentNode|Production|Document|PRIMARY KEY
212|Production|CK_Document_Status|Production|Document|CHECK
213|Production|UQ__Document__F73921F7C5112C2E|Production|Document|UNIQUE
214|Production|FK_Document_Employee_Owner|Production|Document|FOREIGN KEY
215|Sales|PK_SalesOrderDetail_SalesOrderID_SalesOrderDetailID|Sales|SalesOrderDetail|PRIMARY KEY
216|Sales|CK_SalesOrderDetail_UnitPriceDiscount|Sales|SalesOrderDetail|CHECK
217|Sales|CK_SalesOrderDetail_UnitPrice|Sales|SalesOrderDetail|CHECK
218|Sales|FK_SalesOrderDetail_SpecialOfferProduct_SpecialOfferIDProductID|Sales|SalesOrderDetail|FOREIGN KEY
219|Sales|CK_SalesOrderDetail_OrderQty|Sales|SalesOrderDetail|CHECK
220|Sales|FK_SalesOrderDetail_SalesOrderHeader_SalesOrderID|Sales|SalesOrderDetail|FOREIGN KEY
221|Person|PK_EmailAddress_BusinessEntityID_EmailAddressID|Person|EmailAddress|PRIMARY KEY
222|Person|FK_EmailAddress_Person_BusinessEntityID|Person|EmailAddress|FOREIGN KEY
223|HumanResources|FK_Employee_Person_BusinessEntityID|HumanResources|Employee|FOREIGN KEY
224|HumanResources|CK_Employee_SickLeaveHours|HumanResources|Employee|CHECK
225|HumanResources|CK_Employee_VacationHours|HumanResources|Employee|CHECK
226|HumanResources|CK_Employee_Gender|HumanResources|Employee|CHECK
227|HumanResources|CK_Employee_HireDate|HumanResources|Employee|CHECK
228|HumanResources|CK_Employee_MaritalStatus|HumanResources|Employee|CHECK
229|HumanResources|PK_Employee_BusinessEntityID|HumanResources|Employee|PRIMARY KEY
230|HumanResources|CK_Employee_BirthDate|HumanResources|Employee|CHECK
231|Sales|FK_SalesOrderHeader_ShipMethod_ShipMethodID|Sales|SalesOrderHeader|FOREIGN KEY
232|Sales|FK_SalesOrderHeader_SalesTerritory_TerritoryID|Sales|SalesOrderHeader|FOREIGN KEY
233|Sales|CK_SalesOrderHeader_DueDate|Sales|SalesOrderHeader|CHECK
234|Sales|CK_SalesOrderHeader_Status|Sales|SalesOrderHeader|CHECK
235|Sales|CK_SalesOrderHeader_ShipDate|Sales|SalesOrderHeader|CHECK
236|Sales|CK_SalesOrderHeader_SubTotal|Sales|SalesOrderHeader|CHECK
237|Sales|CK_SalesOrderHeader_TaxAmt|Sales|SalesOrderHeader|CHECK
238|Sales|FK_SalesOrderHeader_SalesPerson_SalesPersonID|Sales|SalesOrderHeader|FOREIGN KEY
239|Sales|FK_SalesOrderHeader_Customer_CustomerID|Sales|SalesOrderHeader|FOREIGN KEY
240|Sales|FK_SalesOrderHeader_CurrencyRate_CurrencyRateID|Sales|SalesOrderHeader|FOREIGN KEY
241|Sales|FK_SalesOrderHeader_CreditCard_CreditCardID|Sales|SalesOrderHeader|FOREIGN KEY
242|Sales|FK_SalesOrderHeader_Address_BillToAddressID|Sales|SalesOrderHeader|FOREIGN KEY
243|Sales|FK_SalesOrderHeader_Address_ShipToAddressID|Sales|SalesOrderHeader|FOREIGN KEY
244|Sales|PK_SalesOrderHeader_SalesOrderID|Sales|SalesOrderHeader|PRIMARY KEY
245|Sales|CK_SalesOrderHeader_Freight|Sales|SalesOrderHeader|CHECK
246|HumanResources|FK_EmployeeDepartmentHistory_Department_DepartmentID|HumanResources|EmployeeDepartmentHistory|FOREIGN KEY
247|HumanResources|FK_EmployeeDepartmentHistory_Employee_BusinessEntityID|HumanResources|EmployeeDepartmentHistory|FOREIGN KEY
248|HumanResources|FK_EmployeeDepartmentHistory_Shift_ShiftID|HumanResources|EmployeeDepartmentHistory|FOREIGN KEY
249|HumanResources|CK_EmployeeDepartmentHistory_EndDate|HumanResources|EmployeeDepartmentHistory|CHECK
250|HumanResources|PK_EmployeeDepartmentHistory_BusinessEntityID_StartDate_DepartmentID|HumanResources|EmployeeDepartmentHistory|PRIMARY KEY
