|CONSTRAINT_SCHEMA|CONSTRAINT_NAME|TABLE_SCHEMA|TABLE_NAME|CONSTRAINT_TYPE
53|Sales|FK_PersonCreditCard_CreditCard_CreditCardID|Sales|PersonCreditCard|FOREIGN KEY
54|Purchasing|CK_ProductVendor_AverageLeadTime|Purchasing|ProductVendor|CHECK
55|Person|FK_PersonPhone_Person_BusinessEntityID|Person|PersonPhone|FOREIGN KEY
56|Purchasing|CK_ProductVendor_StandardPrice|Purchasing|ProductVendor|CHECK
57|Person|FK_PersonPhone_PhoneNumberType_PhoneNumberTypeID|Person|PersonPhone|FOREIGN KEY
58|Purchasing|CK_ProductVendor_LastReceiptCost|Purchasing|ProductVendor|CHECK
59|Production|FK_Product_UnitMeasure_SizeUnitMeasureCode|Production|Product|FOREIGN KEY
60|Purchasing|CK_ProductVendor_MinOrderQty|Purchasing|ProductVendor|CHECK
61|Production|FK_Product_UnitMeasure_WeightUnitMeasureCode|Production|Product|FOREIGN KEY
62|Purchasing|CK_ProductVendor_MaxOrderQty|Purchasing|ProductVendor|CHECK
63|Production|FK_Product_ProductModel_ProductModelID|Production|Product|FOREIGN KEY
64|Purchasing|CK_Vendor_CreditRating|Purchasing|Vendor|CHECK
65|Purchasing|CK_ProductVendor_OnOrderQty|Purchasing|ProductVendor|CHECK
66|Production|FK_Product_ProductSubcategory_ProductSubcategoryID|Production|Product|FOREIGN KEY
67|Production|FK_ProductCostHistory_Product_ProductID|Production|ProductCostHistory|FOREIGN KEY
68|Production|FK_ProductDocument_Product_ProductID|Production|ProductDocument|FOREIGN KEY
69|Production|CK_WorkOrder_OrderQty|Production|WorkOrder|CHECK
70|Purchasing|CK_PurchaseOrderDetail_OrderQty|Purchasing|PurchaseOrderDetail|CHECK
71|Production|FK_ProductDocument_Document_DocumentNode|Production|ProductDocument|FOREIGN KEY
72|Production|CK_WorkOrder_ScrappedQty|Production|WorkOrder|CHECK
73|Purchasing|CK_PurchaseOrderDetail_UnitPrice|Purchasing|PurchaseOrderDetail|CHECK
74|Production|FK_ProductInventory_Location_LocationID|Production|ProductInventory|FOREIGN KEY
75|Production|CK_WorkOrder_EndDate|Production|WorkOrder|CHECK
76|Purchasing|CK_PurchaseOrderDetail_ReceivedQty|Purchasing|PurchaseOrderDetail|CHECK
77|Production|FK_ProductInventory_Product_ProductID|Production|ProductInventory|FOREIGN KEY
78|Purchasing|CK_PurchaseOrderDetail_RejectedQty|Purchasing|PurchaseOrderDetail|CHECK
79|Production|FK_ProductListPriceHistory_Product_ProductID|Production|ProductListPriceHistory|FOREIGN KEY
80|Production|FK_ProductModelIllustration_ProductModel_ProductModelID|Production|ProductModelIllustration|FOREIGN KEY
81|Production|CK_WorkOrderRouting_ScheduledEndDate|Production|WorkOrderRouting|CHECK
82|Production|FK_ProductModelIllustration_Illustration_IllustrationID|Production|ProductModelIllustration|FOREIGN KEY
83|Production|CK_WorkOrderRouting_ActualEndDate|Production|WorkOrderRouting|CHECK
84|Production|FK_ProductModelProductDescriptionCulture_ProductDescription_ProductDescriptionID|Production|ProductModelProductDescriptionCulture|FOREIGN KEY
85|Production|CK_WorkOrderRouting_ActualResourceHrs|Production|WorkOrderRouting|CHECK
86|Production|FK_ProductModelProductDescriptionCulture_Culture_CultureID|Production|ProductModelProductDescriptionCulture|FOREIGN KEY
87|Production|CK_WorkOrderRouting_PlannedCost|Production|WorkOrderRouting|CHECK
88|Production|FK_ProductModelProductDescriptionCulture_ProductModel_ProductModelID|Production|ProductModelProductDescriptionCulture|FOREIGN KEY
89|Production|CK_WorkOrderRouting_ActualCost|Production|WorkOrderRouting|CHECK
90|Production|FK_ProductProductPhoto_Product_ProductID|Production|ProductProductPhoto|FOREIGN KEY
91|Person|PK_Address_AddressID|Person|Address|PRIMARY KEY
92|Production|FK_ProductProductPhoto_ProductPhoto_ProductPhotoID|Production|ProductProductPhoto|FOREIGN KEY
93|Person|PK_AddressType_AddressTypeID|Person|AddressType|PRIMARY KEY
94|Production|FK_ProductReview_Product_ProductID|Production|ProductReview|FOREIGN KEY
95|dbo|PK_AWBuildVersion_SystemInformationID|dbo|AWBuildVersion|PRIMARY KEY
96|Purchasing|CK_PurchaseOrderHeader_Status|Purchasing|PurchaseOrderHeader|CHECK
97|Production|FK_ProductSubcategory_ProductCategory_ProductCategoryID|Production|ProductSubcategory|FOREIGN KEY
98|Production|PK_BillOfMaterials_BillOfMaterialsID|Production|BillOfMaterials|PRIMARY KEY
99|Purchasing|CK_PurchaseOrderHeader_ShipDate|Purchasing|PurchaseOrderHeader|CHECK
100|Production|UQ__Document__F73921F7BAEE5BF6|Production|Document|UNIQUE
101|Purchasing|FK_ProductVendor_Product_ProductID|Purchasing|ProductVendor|FOREIGN KEY
102|Person|PK_BusinessEntity_BusinessEntityID|Person|BusinessEntity|PRIMARY KEY
103|Purchasing|CK_PurchaseOrderHeader_SubTotal|Purchasing|PurchaseOrderHeader|CHECK
104|Purchasing|FK_ProductVendor_UnitMeasure_UnitMeasureCode|Purchasing|ProductVendor|FOREIGN KEY
105|Person|PK_BusinessEntityAddress_BusinessEntityID_AddressID_AddressTypeID|Person|BusinessEntityAddress|PRIMARY KEY
106|Purchasing|CK_PurchaseOrderHeader_TaxAmt|Purchasing|PurchaseOrderHeader|CHECK
107|Purchasing|FK_ProductVendor_Vendor_BusinessEntityID|Purchasing|ProductVendor|FOREIGN KEY
108|Person|PK_BusinessEntityContact_BusinessEntityID_PersonID_ContactTypeID|Person|BusinessEntityContact|PRIMARY KEY
109|Purchasing|CK_PurchaseOrderHeader_Freight|Purchasing|PurchaseOrderHeader|CHECK
110|Purchasing|FK_PurchaseOrderDetail_Product_ProductID|Purchasing|PurchaseOrderDetail|FOREIGN KEY
111|Person|PK_ContactType_ContactTypeID|Person|ContactType|PRIMARY KEY
112|Purchasing|FK_PurchaseOrderDetail_PurchaseOrderHeader_PurchaseOrderID|Purchasing|PurchaseOrderDetail|FOREIGN KEY
113|Sales|PK_CountryRegionCurrency_CountryRegionCode_CurrencyCode|Sales|CountryRegionCurrency|PRIMARY KEY
114|Production|CK_Document_Status|Production|Document|CHECK
115|Purchasing|FK_PurchaseOrderHeader_Employee_EmployeeID|Purchasing|PurchaseOrderHeader|FOREIGN KEY
116|Person|PK_CountryRegion_CountryRegionCode|Person|CountryRegion|PRIMARY KEY
117|Purchasing|FK_PurchaseOrderHeader_Vendor_VendorID|Purchasing|PurchaseOrderHeader|FOREIGN KEY
118|Sales|PK_CreditCard_CreditCardID|Sales|CreditCard|PRIMARY KEY
119|Purchasing|FK_PurchaseOrderHeader_ShipMethod_ShipMethodID|Purchasing|PurchaseOrderHeader|FOREIGN KEY
120|Production|PK_Culture_CultureID|Production|Culture|PRIMARY KEY
121|Sales|CK_SalesOrderDetail_OrderQty|Sales|SalesOrderDetail|CHECK
122|Sales|FK_SalesOrderDetail_SalesOrderHeader_SalesOrderID|Sales|SalesOrderDetail|FOREIGN KEY
123|Sales|PK_Currency_CurrencyCode|Sales|Currency|PRIMARY KEY
124|Sales|CK_SalesOrderDetail_UnitPrice|Sales|SalesOrderDetail|CHECK
125|Sales|FK_SalesOrderDetail_SpecialOfferProduct_SpecialOfferIDProductID|Sales|SalesOrderDetail|FOREIGN KEY
126|Sales|PK_CurrencyRate_CurrencyRateID|Sales|CurrencyRate|PRIMARY KEY
127|Sales|CK_SalesOrderDetail_UnitPriceDiscount|Sales|SalesOrderDetail|CHECK
128|Sales|FK_SalesOrderHeader_Address_BillToAddressID|Sales|SalesOrderHeader|FOREIGN KEY
129|Sales|PK_Customer_CustomerID|Sales|Customer|PRIMARY KEY
130|Sales|FK_SalesOrderHeader_Address_ShipToAddressID|Sales|SalesOrderHeader|FOREIGN KEY
131|dbo|PK_DatabaseLog_DatabaseLogID|dbo|DatabaseLog|PRIMARY KEY
132|Sales|FK_SalesOrderHeader_CreditCard_CreditCardID|Sales|SalesOrderHeader|FOREIGN KEY
133|HumanResources|PK_Department_DepartmentID|HumanResources|Department|PRIMARY KEY
134|Sales|FK_SalesOrderHeader_CurrencyRate_CurrencyRateID|Sales|SalesOrderHeader|FOREIGN KEY
135|Production|PK_Document_DocumentNode|Production|Document|PRIMARY KEY
136|Sales|FK_SalesOrderHeader_Customer_CustomerID|Sales|SalesOrderHeader|FOREIGN KEY
137|Person|PK_EmailAddress_BusinessEntityID_EmailAddressID|Person|EmailAddress|PRIMARY KEY
138|Sales|FK_SalesOrderHeader_SalesPerson_SalesPersonID|Sales|SalesOrderHeader|FOREIGN KEY
139|HumanResources|PK_Employee_BusinessEntityID|HumanResources|Employee|PRIMARY KEY
140|HumanResources|CK_Employee_BirthDate|HumanResources|Employee|CHECK
141|Sales|FK_SalesOrderHeader_ShipMethod_ShipMethodID|Sales|SalesOrderHeader|FOREIGN KEY
142|HumanResources|PK_EmployeeDepartmentHistory_BusinessEntityID_StartDate_DepartmentID|HumanResources|EmployeeDepartmentHistory|PRIMARY KEY
143|HumanResources|CK_Employee_MaritalStatus|HumanResources|Employee|CHECK
144|Sales|FK_SalesOrderHeader_SalesTerritory_TerritoryID|Sales|SalesOrderHeader|FOREIGN KEY
145|HumanResources|PK_EmployeePayHistory_BusinessEntityID_RateChangeDate|HumanResources|EmployeePayHistory|PRIMARY KEY
146|HumanResources|CK_Employee_HireDate|HumanResources|Employee|CHECK
147|Sales|FK_SalesOrderHeaderSalesReason_SalesReason_SalesReasonID|Sales|SalesOrderHeaderSalesReason|FOREIGN KEY
148|Production|PK_Illustration_IllustrationID|Production|Illustration|PRIMARY KEY
149|HumanResources|CK_Employee_Gender|HumanResources|Employee|CHECK
150|Sales|FK_SalesOrderHeaderSalesReason_SalesOrderHeader_SalesOrderID|Sales|SalesOrderHeaderSalesReason|FOREIGN KEY
151|HumanResources|PK_JobCandidate_JobCandidateID|HumanResources|JobCandidate|PRIMARY KEY
152|HumanResources|CK_Employee_VacationHours|HumanResources|Employee|CHECK
153|Sales|FK_SalesPerson_Employee_BusinessEntityID|Sales|SalesPerson|FOREIGN KEY
154|Production|PK_Location_LocationID|Production|Location|PRIMARY KEY
155|Sales|CK_SalesOrderHeader_Status|Sales|SalesOrderHeader|CHECK
156|HumanResources|CK_Employee_SickLeaveHours|HumanResources|Employee|CHECK
157|Sales|FK_SalesPerson_SalesTerritory_TerritoryID|Sales|SalesPerson|FOREIGN KEY
158|Person|PK_Password_BusinessEntityID|Person|Password|PRIMARY KEY
159|Sales|CK_SalesOrderHeader_DueDate|Sales|SalesOrderHeader|CHECK
160|Sales|FK_SalesPersonQuotaHistory_SalesPerson_BusinessEntityID|Sales|SalesPersonQuotaHistory|FOREIGN KEY
161|Person|PK_Person_BusinessEntityID|Person|Person|PRIMARY KEY
162|Sales|CK_SalesOrderHeader_ShipDate|Sales|SalesOrderHeader|CHECK
163|Sales|FK_SalesTaxRate_StateProvince_StateProvinceID|Sales|SalesTaxRate|FOREIGN KEY
164|Sales|PK_PersonCreditCard_BusinessEntityID_CreditCardID|Sales|PersonCreditCard|PRIMARY KEY
165|Sales|CK_SalesOrderHeader_SubTotal|Sales|SalesOrderHeader|CHECK
166|HumanResources|CK_EmployeeDepartmentHistory_EndDate|HumanResources|EmployeeDepartmentHistory|CHECK
167|Sales|FK_SalesTerritory_CountryRegion_CountryRegionCode|Sales|SalesTerritory|FOREIGN KEY
168|Person|PK_PersonPhone_BusinessEntityID_PhoneNumber_PhoneNumberTypeID|Person|PersonPhone|PRIMARY KEY
169|Sales|CK_SalesOrderHeader_TaxAmt|Sales|SalesOrderHeader|CHECK
170|Sales|FK_SalesTerritoryHistory_SalesPerson_BusinessEntityID|Sales|SalesTerritoryHistory|FOREIGN KEY
171|Person|PK_PhoneNumberType_PhoneNumberTypeID|Person|PhoneNumberType|PRIMARY KEY
172|Sales|CK_SalesOrderHeader_Freight|Sales|SalesOrderHeader|CHECK
173|Sales|FK_SalesTerritoryHistory_SalesTerritory_TerritoryID|Sales|SalesTerritoryHistory|FOREIGN KEY
174|Production|PK_Product_ProductID|Production|Product|PRIMARY KEY
175|HumanResources|CK_EmployeePayHistory_PayFrequency|HumanResources|EmployeePayHistory|CHECK
176|Sales|FK_ShoppingCartItem_Product_ProductID|Sales|ShoppingCartItem|FOREIGN KEY
177|Production|PK_ProductCategory_ProductCategoryID|Production|ProductCategory|PRIMARY KEY
178|HumanResources|CK_EmployeePayHistory_Rate|HumanResources|EmployeePayHistory|CHECK
179|Sales|FK_SpecialOfferProduct_Product_ProductID|Sales|SpecialOfferProduct|FOREIGN KEY
180|Production|PK_ProductCostHistory_ProductID_StartDate|Production|ProductCostHistory|PRIMARY KEY
181|Sales|FK_SpecialOfferProduct_SpecialOffer_SpecialOfferID|Sales|SpecialOfferProduct|FOREIGN KEY
182|Production|PK_ProductDescription_ProductDescriptionID|Production|ProductDescription|PRIMARY KEY
183|Person|FK_StateProvince_CountryRegion_CountryRegionCode|Person|StateProvince|FOREIGN KEY
184|Production|PK_ProductDocument_ProductID_DocumentNode|Production|ProductDocument|PRIMARY KEY
185|Person|FK_StateProvince_SalesTerritory_TerritoryID|Person|StateProvince|FOREIGN KEY
186|Production|PK_ProductInventory_ProductID_LocationID|Production|ProductInventory|PRIMARY KEY
187|Sales|FK_Store_BusinessEntity_BusinessEntityID|Sales|Store|FOREIGN KEY
188|Production|PK_ProductListPriceHistory_ProductID_StartDate|Production|ProductListPriceHistory|PRIMARY KEY
189|Sales|FK_Store_SalesPerson_SalesPersonID|Sales|Store|FOREIGN KEY
190|Production|PK_ProductModel_ProductModelID|Production|ProductModel|PRIMARY KEY
191|Production|FK_TransactionHistory_Product_ProductID|Production|TransactionHistory|FOREIGN KEY
192|Production|PK_ProductModelIllustration_ProductModelID_IllustrationID|Production|ProductModelIllustration|PRIMARY KEY
193|Purchasing|FK_Vendor_BusinessEntity_BusinessEntityID|Purchasing|Vendor|FOREIGN KEY
194|Production|PK_ProductModelProductDescriptionCulture_ProductModelID_ProductDescriptionID_CultureID|Production|ProductModelProductDescriptionCulture|PRIMARY KEY
195|Sales|CK_SalesPerson_SalesQuota|Sales|SalesPerson|CHECK
196|Production|FK_WorkOrder_Product_ProductID|Production|WorkOrder|FOREIGN KEY
197|Production|PK_ProductPhoto_ProductPhotoID|Production|ProductPhoto|PRIMARY KEY
198|Sales|CK_SalesPerson_Bonus|Sales|SalesPerson|CHECK
199|Production|CK_Location_CostRate|Production|Location|CHECK
200|Production|FK_WorkOrder_ScrapReason_ScrapReasonID|Production|WorkOrder|FOREIGN KEY
201|Production|PK_ProductProductPhoto_ProductID_ProductPhotoID|Production|ProductProductPhoto|PRIMARY KEY
202|Sales|CK_SalesPerson_CommissionPct|Sales|SalesPerson|CHECK
203|Production|CK_Location_Availability|Production|Location|CHECK
204|Production|FK_WorkOrderRouting_Location_LocationID|Production|WorkOrderRouting|FOREIGN KEY
205|Production|PK_ProductReview_ProductReviewID|Production|ProductReview|PRIMARY KEY
206|Sales|CK_SalesPerson_SalesYTD|Sales|SalesPerson|CHECK
207|Production|FK_WorkOrderRouting_WorkOrder_WorkOrderID|Production|WorkOrderRouting|FOREIGN KEY
208|Production|PK_ProductSubcategory_ProductSubcategoryID|Production|ProductSubcategory|PRIMARY KEY
209|Sales|CK_SalesPerson_SalesLastYear|Sales|SalesPerson|CHECK
210|Purchasing|PK_ProductVendor_ProductID_BusinessEntityID|Purchasing|ProductVendor|PRIMARY KEY
211|Purchasing|PK_PurchaseOrderDetail_PurchaseOrderID_PurchaseOrderDetailID|Purchasing|PurchaseOrderDetail|PRIMARY KEY
212|Purchasing|PK_PurchaseOrderHeader_PurchaseOrderID|Purchasing|PurchaseOrderHeader|PRIMARY KEY
213|Sales|PK_SalesOrderDetail_SalesOrderID_SalesOrderDetailID|Sales|SalesOrderDetail|PRIMARY KEY
214|Sales|CK_SalesPersonQuotaHistory_SalesQuota|Sales|SalesPersonQuotaHistory|CHECK
215|Sales|PK_SalesOrderHeader_SalesOrderID|Sales|SalesOrderHeader|PRIMARY KEY
216|Sales|PK_SalesOrderHeaderSalesReason_SalesOrderID_SalesReasonID|Sales|SalesOrderHeaderSalesReason|PRIMARY KEY
217|Sales|PK_SalesPerson_BusinessEntityID|Sales|SalesPerson|PRIMARY KEY
218|Person|CK_Person_EmailPromotion|Person|Person|CHECK
219|Sales|PK_SalesPersonQuotaHistory_BusinessEntityID_QuotaDate|Sales|SalesPersonQuotaHistory|PRIMARY KEY
220|Person|CK_Person_PersonType|Person|Person|CHECK
221|Sales|PK_SalesReason_SalesReasonID|Sales|SalesReason|PRIMARY KEY
222|Sales|PK_SalesTaxRate_SalesTaxRateID|Sales|SalesTaxRate|PRIMARY KEY
223|Sales|PK_SalesTerritory_TerritoryID|Sales|SalesTerritory|PRIMARY KEY
224|Sales|CK_SalesTaxRate_TaxType|Sales|SalesTaxRate|CHECK
225|Sales|PK_SalesTerritoryHistory_BusinessEntityID_StartDate_TerritoryID|Sales|SalesTerritoryHistory|PRIMARY KEY
226|Production|PK_ScrapReason_ScrapReasonID|Production|ScrapReason|PRIMARY KEY
227|HumanResources|PK_Shift_ShiftID|HumanResources|Shift|PRIMARY KEY
228|Purchasing|PK_ShipMethod_ShipMethodID|Purchasing|ShipMethod|PRIMARY KEY
229|Sales|PK_ShoppingCartItem_ShoppingCartItemID|Sales|ShoppingCartItem|PRIMARY KEY
230|Sales|PK_SpecialOffer_SpecialOfferID|Sales|SpecialOffer|PRIMARY KEY
231|Sales|PK_SpecialOfferProduct_SpecialOfferID_ProductID|Sales|SpecialOfferProduct|PRIMARY KEY
232|Person|PK_StateProvince_StateProvinceID|Person|StateProvince|PRIMARY KEY
233|Sales|CK_SalesTerritory_SalesYTD|Sales|SalesTerritory|CHECK
234|Sales|PK_Store_BusinessEntityID|Sales|Store|PRIMARY KEY
235|Sales|CK_SalesTerritory_SalesLastYear|Sales|SalesTerritory|CHECK
236|Production|CK_Product_SafetyStockLevel|Production|Product|CHECK
237|Production|PK_TransactionHistory_TransactionID|Production|TransactionHistory|PRIMARY KEY
238|Sales|CK_SalesTerritory_CostYTD|Sales|SalesTerritory|CHECK
239|Production|CK_Product_ReorderPoint|Production|Product|CHECK
240|Production|PK_TransactionHistoryArchive_TransactionID|Production|TransactionHistoryArchive|PRIMARY KEY
241|Sales|CK_SalesTerritory_CostLastYear|Sales|SalesTerritory|CHECK
242|Production|CK_Product_StandardCost|Production|Product|CHECK
243|Production|PK_UnitMeasure_UnitMeasureCode|Production|UnitMeasure|PRIMARY KEY
244|Production|CK_Product_ListPrice|Production|Product|CHECK
245|Purchasing|PK_Vendor_BusinessEntityID|Purchasing|Vendor|PRIMARY KEY
246|Production|CK_Product_Weight|Production|Product|CHECK
247|Production|PK_WorkOrder_WorkOrderID|Production|WorkOrder|PRIMARY KEY
248|Production|CK_Product_DaysToManufacture|Production|Product|CHECK
249|Production|PK_WorkOrderRouting_WorkOrderID_ProductID_OperationSequence|Production|WorkOrderRouting|PRIMARY KEY
250|Sales|CK_SalesTerritoryHistory_EndDate|Sales|SalesTerritoryHistory|CHECK
